N, iterations, converged
6, 40, 1
7, 62, 1
8, 73, 1
9, 109, 1
10, 136, 1
11, 179, 1
12, 190, 1
13, 233, 1
14, 262, 1
15, 321, 1
16, 353, 1
17, 407, 1
18, 464, 1
19, 532, 1
20, 567, 1
21, 634, 1
22, 682, 1
23, 759, 1
24, 808, 1
25, 894, 1
26, 957, 1
27, 1045, 1
28, 1121, 1
29, 1210, 1
30, 1291, 1
31, 1379, 1
32, 1447, 1
33, 1559, 1
34, 1653, 1
35, 1765, 1
36, 1858, 1
37, 1993, 1
38, 2036, 1
39, 2232, 1
40, 2308, 1
41, 2407, 1
42, 2560, 1
43, 2686, 1
44, 2754, 1
45, 2921, 1
46, 3001, 1
47, 3177, 1
48, 3282, 1
49, 3457, 1
